cpd:C00001	H2O; Water
cpd:C04564	[Isocitrate dehydrogenase (NADP+)] phosphate
cpd:C04565	Low-density lipoprotein O-phospho-L-serine
cpd:C04566	Membrane-derived-oligosaccharide D-glucose
cpd:C04570	Reduced electron-transferring flavoprotein; Reduced electron-transfer flavoprotein
cpd:C04572	S-(N-Hydroxy-N-methylcarbamoyl)glutathione
cpd:C04573	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate; UDP-N-acetyl-D-glucosaminuronate; UDP-N-acetyl-2-amino-2-deoxy-alpha-D-glucuronate
cpd:C04574	di-trans,poly-cis-Undecaprenyl diphosphate; Undecaprenyl diphosphate; Bactoprenyl diphosphate; ditrans,octacis-Undecaprenyl diphosphate
cpd:C04575	(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate; 2,3-Diketo-L-gulonate
cpd:C04576	Pentagalloylglucose; 1,2,3,4,6-Pentakis-O-galloyl-beta-D-glucose; Pentagalloyl-beta-D-glucose
cpd:C04577	15-OxoETE; (5Z,8Z,11Z,13E)-15-Oxoicosa-5,8,11,13-tetraenoic acid; 15-Oxo-5,8,11-cis-13-trans-eicosatetraenoate; 15-Oxo-5,8,11-cis-13-trans-icosatetraenoate
cpd:C04578	16-Methoxy-2,3-dihydro-3-hydroxytabersonine
cpd:C04579	Inositol 1,2,3,5,6-pentakisphosphate; myo-Inositol 1,2,3,5,6-pentakisphosphate; 1D-myo-Inositol 1,2,3,5,6-pentakisphosphate; 1L-myo-Inositol 1,2,3,4,5-pentakisphosphate
cpd:C04580	2-Deoxy-2,3-dehydro-N-acetylneuraminic acid
cpd:C04581	Tomentin; 3',4',5,6-Tetrahydroxy-3,7-dimethoxyflavone
cpd:C04582	S-Methyl-5-thio-D-ribulose 1-phosphate
cpd:C04583	6-Hydroxyl-1,6-dihydropurine ribonucleoside; (6R)-1,6-Dihydroinosine
cpd:C04584	6-Imino-5-oxocyclohexa-1,3-dienecarboxylate
cpd:C04586	Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate
cpd:C04587	Diethyl (2S,3R)-2-methyl-3-hydroxysuccinate
cpd:C04589	UDP-N-acetyl-D-galactosamine 4,6-bissulfate
cpd:C04590	3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate
cpd:C04592	Toluene-cis-dihydrodiol; (1S,2R)-3-Methylcyclohexa-3,5-diene-1,2-diol
cpd:C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid
cpd:C04594	(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic acid; (9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoate; 13(S)-EOD
cpd:C04596	1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene; 1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethylene; DDE
cpd:C04597	1,2-Bis(3,4-dimethoxyphenyl)propane-1,3-diol; 1,2-Bis(3,4-dimethoxyphenyl)-1,3-propanediol
cpd:C04598	2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine; Platelet-activating factor; PAF
cpd:C04599	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine; MPTP
cpd:C04604	3-Hydroxy-2-methylpyridine-4,5-dicarboxylate
cpd:C04606	5-(3,4-Diacetoxybut-1-ynyl)-2,2'-bithiophene
cpd:C04608	Apigenin 7-O-beta-D-glucoside; 7-O-beta-D-Glucosyl-5,7,4'-trihydroxyflavone; Apigenin 7-O-glucoside; Apigetrin; 7-(beta-D-Glucopyranosyloxy)-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; Cosmetin; Cosmosiin
cpd:C04611	Indol-3-ylacetyl-myo-inositol L-arabinoside
cpd:C04613	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose; UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hexos-4-ulose; UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose
cpd:C04614	alpha-D-Mannosyl-1,3-(R1)-beta-D-mannosyl-R2; 3-(alpha-D-Mannosyl)-beta-D-mannosyl-R
cpd:C04615	alpha-D-Mannosylchitobiosyldiphosphodolichol
cpd:C04617	(1S,2S)-1-Hydroxypropane-1,2,3-tricarboxylate; D-erythro-Isocitric acid
cpd:C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]; (R)-3-Hydroxybutanoyl-[acyl-carrier protein]
cpd:C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]; (R)-3-Hydroxydecanoyl-[acyl-carrier protein]
cpd:C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]; (R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
cpd:C04621	(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide
cpd:C04622	(Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide
cpd:C04623	DDT; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane; 1,1,1-Trichloro-2,2-bis-(4'-chlorophenyl)ethane; Clofenotane; Dichlorodiphenyltrichloroethane
cpd:C04625	2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate; 3,5-Dichloro-2,5-dihydro-2-oxofuran-5-acetate
cpd:C04627	D-Galactosyl-N-acetyl-alpha-D-galactosaminide
cpd:C04628	Coenzyme B; N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate; N-(7-Mercaptoheptanoyl)threonine O3-phosphate; HTP
cpd:C04630	UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose; UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine; UDP-N-acetylbacillosamine
cpd:C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine; UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine; UDP-N-acetylglucosamine-3-O-pyruvateether; UDP-N-acetylglucosamine enolpyruvate; UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine
cpd:C04632	[Hydroxymethylglutaryl-CoA reductase (NADPH)]
cpd:C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]; (R)-3-Hydroxypalmitoyl-[acyl-carrier protein]; (3R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]; (R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]
cpd:C04634	1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate; 1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate
cpd:C04635	1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine; 1-Alkenylglycerophosphoethanolamine
cpd:C04636	1-Acyl-2-linoleoyl-sn-glycero-3-phosphocholine
cpd:C04637	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate; 1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate; Phosphatidyl-myo-inositol 4,5-bisphosphate; Phosphatidylinositol-4,5-bisphosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4',5'-bisphosphate)
cpd:C04638	2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate; 2,3-Bis-O-(geranylgeranyl)-sn-glycerol-1-phosphate; 2,3-Digeranylgeranyl sn-glycerol 1-phosphate
cpd:C04639	2,4-Dioxotetrahydropyrimidine D-ribonucleotide
cpd:C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine; 1-(5'-Phosphoribosyl)-N-formylglycinamidine; 5'-Phosphoribosyl-N-formylglycinamidine; 5'-Phosphoribosylformylglycinamidine; 2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
cpd:C04641	2-(alpha-D-Galactosyl)-sn-glycerol 3-phosphate
cpd:C04642	2-Hydroxy-5-carboxymethylmuconate semialdehyde; 5-Carboxymethyl-2-hydroxymuconate semialdehyde; 5-Carboxymethyl-2-hydroxymuconic semialdehyde
cpd:C04643	7-Oxodeoxycholate; 7-Ketocholate; 3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanoate; 3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholan-24-oate
cpd:C04644	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
cpd:C04645	6-(D-Glucose-1-phospho)-D-mannosylglycoprotein; Glycoprotein 6-(D-glucose-1-phospho)-D-mannose
cpd:C04646	6-Thioinosine-5'-monophosphate; 9-(5-Phospho-1-ribofuranosyl)-6-mercaptopurine
cpd:C04648	alpha-L-Fucosyl-1,2-beta-D-galactoside; Glycoprotein alpha-L-fucosyl-(1,2)-D-galactose; Glycolipid alpha-L-fucosyl-1,2-beta-D-galactose; alpha-L-Fucosyl-(1->2)-D-galactosyl-R
cpd:C04649	Heparan sulfate N-acetyl-alpha-D-glucosaminide
cpd:C04650	L-Phosphinothricin; Phosphinothricin; L-Glufosinate; L-2-Amino-4-(hydroxymethylphosphinyl)butanoate
cpd:C04652	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine; UDP-2,3-bis(beta-hydroxymyristoyl)-D-glucosamine; UDP-2,3-bis(3-hydroxytetradecanoyl)-D-glucosamine; UDP-2,3-bis[O-(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine
cpd:C04654	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate
cpd:C04655	(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate
cpd:C04656	1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R; beta-D-Galactosyl-(1->3)-N-acetyl-D-glucosaminyl-R
cpd:C04657	1,4-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R; 1,4-beta-Galactosyl-N-acetyl-D-glucosaminyl-R
cpd:C04660	3'-Deoxydihydrostreptomycin 6,3''-bis-phosphate
cpd:C04661	3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12beta-Trihydroxy-5beta-cholanic acid
cpd:C04662	4-Deoxy-alpha-L-erythro-hex-4-enopyranuronoside
cpd:C04663	Acadesine; AICA riboside; 5-Amino-1-beta-D-ribofuranosylimidazole-4-carboxamide; 5-Aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside
cpd:C04665	Co-Methyl-5-hydroxybenzimidazolylcobamide
cpd:C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate; D-erythro-Imidazole-glycerol 3-phosphate; D-erythro-Imidazole-glycerol phosphate
cpd:C04667	N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)
cpd:C04670	(1S,4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate
cpd:C04671	(5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate
cpd:C04672	(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate; (9Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoate; 12,13(S)-EOT; 12,13(S)-EOTrE
cpd:C04673	1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol; Amidino-3-keto-scyllo-inosamine
cpd:C04674	3-D-Glucuronosyl-N2,6-disulfo-beta-D-glucosamine
cpd:C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA; 3-Hydroxy-3-isohexeneylglutaryl-CoA
cpd:C04676	Testololactone; 3-Oxo-13,17-secoandrost-4-ene-17,13alpha-lactone
cpd:C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide; 5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide; AICAR; 5-Aminoimidazole-4-carboxamide ribotide; 5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
cpd:C04678	Archaeal dolichyl N-acetyl-alpha-D-glucosaminyl phosphate; Dolichyl N-acetyl-alpha-D-glucosaminyl phosphate
cpd:C04679	Protein N6-[(R)-4-amino-2-hydroxybutyl]-L-lysine; [eIF5A-precursor]-hypusine
cpd:C04680	Retinyl-ester-(cellular-retinol-binding-protein)
cpd:C04681	[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Biotin-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[acetyl-CoA carboxylase]; Biotin-[acetyl-CoA carboxylase]
cpd:C04682	[Methylmalonyl-CoA:pyruvate carboxytransferase]; Holo-[methylmalonyl-CoA:pyruvate carboxytransferase]; Biotin-[methylmalonyl-CoA:pyruvate carboxytransferase]; Holo-[methylmalonyl-CoA-carboxyltransferase]; Biotin-[methylmalonyl-CoA-carboxyltransferase]
cpd:C04683	alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R
cpd:C04684	m-Carboxyphenyl phenylacetamidomethylphosphonate
cpd:C04685	(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate; Prostaglandin A1; PGA1
cpd:C04686	(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate; Prostaglandin C1
cpd:C04687	(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate
cpd:C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]; (R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]; beta-Hydroxymyristyl-[acyl-carrier protein]; HMA
cpd:C04690	2-(Hydroxymethyl)-3-(acetamidomethylene)succinate; 2-(Acetamidomethylene)-3-(hydroxymethyl)succinate
cpd:C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate; 3-Deoxy-D-arabino-hept-2-ulosonate 7-phosphate; 3-Deoxy-arabino-heptulonate 7-phosphate; 3-Deoxy-D-arabino-heptulosonic acid 7-phosphate; DAHP; 2-Dahp
cpd:C04692	Peptide 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine; 2-[3-Carboxy-3-(methylammonio)propyl]-L-histidine; EF-2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine; Elongation factor 2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine; 2-[(3S)-3-Carboxy-3-(methylamino)propyl]-L-histidine-[translation elongation factor 2]
cpd:C04695	5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside
cpd:C04696	7-Methylguanosine 5'-triphospho-5'-oligonucleotide; m7GpppX
cpd:C04698	Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside
cpd:C04700	UDP-N-acetylmuramoyl-L-alanyl-alpha-D-glutamyl-L-lysine
cpd:C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala); UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine
cpd:C04703	alpha-D-Galactosyl-(1,1')-sn-glycerol 3-phosphate; 1-O-alpha-D-Galactosyl-sn-glycerol 3-phosphate
cpd:C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide; cis-2-Chlorodienelactone; cis-4-Carboxymethylene-2-chlorobut-2-en-4-olide
cpd:C04707	(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate; (5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprosta-13-enoate
cpd:C04708	1-(beta-D-Galactosyl)-2-(2-hydroxyacyl)sphingosine
cpd:C04709	3'-Deoxydihydrostreptomycin 3'alpha,6-bisphosphate
cpd:C04711	5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene
cpd:C04712	(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate
cpd:C04713	N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate; N6-(Dimethylallyl)adenosine 5'-phosphate; Isopentenyl-AMP
cpd:C04714	alpha-D-Galactosyl-beta-D-galactosyldiacylglycerol; 1,3-Diacyl-2-O-(alpha-D-galactosyl(1->4)-O-beta-D-galactosyl)-sn-glycerol
cpd:C04715	Nuatigenin; (20S,22S,25S)-22,25-Epoxyfurost-5-ene-3beta,26-diol
cpd:C04717	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid
cpd:C04718	1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one
cpd:C04719	1-Hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone
cpd:C04720	DIMBOA; 2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one; 2,4-Dihydroxy-7-methoxy-1,4-benzoxazin-3-one
cpd:C04722	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate
cpd:C04724	D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid; alpha-D-Mannosyl-(1->4)-alpha-L-rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol
cpd:C04725	Oligosaccharide containing 6-methyl-D-glucose units; 1,4-alpha-D-Glucooligosaccharide containing 6-O-methyl-D-glucose units
cpd:C04726	[3-Methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]; [3-Methyl-2-oxobutanoate dehydrogenase (lipoamide)]
cpd:C04727	[Propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; [Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; Biotin-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]; Biotin-[propionyl-CoA-carboxylase (ATP-hydrolysing)]
cpd:C04728	tRNA containing 5-methylaminomethyl-2-thiouridylate; tRNA containing mnm5s2U
cpd:C04729	trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide; trans-2-Chlorodienelactone
cpd:C04730	GM3; (N-Acetylneuraminyl)-D-galactosyl-D-glucosylceramide; alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide; N-Acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide; Neu5Ac-alpha2->3Gal-beta1->4Glc-beta1->1'Cer
cpd:C04731	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine N-oxide
cpd:C04732	5-Amino-6-(1-D-ribitylamino)uracil; 5-Amino-6-(D-ribitylamino)uracil; 6-(1-D-Ribitylamino)-5-amino-2,4-dihydroxypyrimidine; 6-(1-D-Ribitylamino)-5-aminouracil; 4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine
cpd:C04733	4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate
cpd:C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-formamido-4-imidazolecarboxamide; 5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide; 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; FAICAR
cpd:C04735	Apo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]; Apo-[acetyl-CoA carboxylase]
cpd:C04736	Apo-[methylmalonyl-CoA:pyruvate carboxytransferase]; Apo-[methylmalonyl-CoA-carboxyltransferase]
cpd:C04737	alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide; Globotriosylceramide; Trihexosylceramide; Gal-alpha1->4Gal-beta1->4Glc-beta1->1'Cer; Gal-alpha1->4LacCer; D-Galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide
cpd:C04738	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine; UDP-3-O-(beta-hydroxymyristoyl)-N-acetylglucosamine; UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine
cpd:C04739	UDP-N-acetyl-6-(alpha-D-galactose-1-phospho)-alpha-D-glucosamine; UDP-N-acetyl-6-(D-galactose-1-phospho)-D-glucosamine
cpd:C04740	alpha-N-Acetylneuraminyl-2,6-beta-galactosyl-1,4-beta-D-glucosylceramide; Neu5Ac-alpha2->6Gal-beta1->4Glc-beta1->1'Cer
cpd:C04741	Alprostadil; Prostaglandin E1; (13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate; PGE1
cpd:C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate; (15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate; (5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid; 15(S)-HETE
cpd:C04744	2,6-Diamino-4-hydroxy-5-(N-methyl)formamidopyrimidine
cpd:C04746	3beta-Hydroxy-5alpha-cholest-7-ene-4alpha-carboxylate
cpd:C04747	[Citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]
cpd:C04748	Protein C-terminal S-farnesyl-L-cysteine methyl ester
cpd:C04749	[[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]
cpd:C04750	beta-D-Galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R; beta-D-Galactosyl-1,3-N-acetyl-D-galactosaminyl-R; Glycoprotein D-galactosyl-1,3-N-acetyl-D-galactosamine; beta-D-Galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-R
cpd:C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate; 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxylate; 1-(5'-Phosphoribosyl)-5-amino-4-carboxyimidazole; 5'-Phosphoribosyl-5-amino-4-imidazolecarboxylate; 1-(5'-Phosphoribosyl)-4-carboxy-5-aminoimidazole; 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
cpd:C04752	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate; 4-Amino-2-methyl-5-(diphosphooxymethyl)pyrimidine
cpd:C04755	Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose
cpd:C04756	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine; Phosphatidalethanolamine; Plasmenylethanolamine; Ethanolamineplasmalogen; 2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine; 1-Alkenyl-2-acylglycerophosphoethanolamine
cpd:C04758	(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate; 15-Dehydro-prostaglandin D2
cpd:C04759	1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen; Procollagen alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine
cpd:C04760	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA
cpd:C04763	Apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]; Apo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]
cpd:C04767	O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate; alpha-L-Dihydrostreptosyl-(1->4)-streptidine 6-phosphate
cpd:C04768	[Hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate
cpd:C04771	L-Mimosine; Leucenol; (S)-2-Amino-3-(3-hydroxy-4-oxo-4H-pyridin-1-yl)propanoate
cpd:C04772	1,6-alpha-D-Mannosyl-1,6-alpha-D-mannosyloligosaccharide
cpd:C04773	3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate; 5-Pyridoxate; 5-Pyridoxic acid
cpd:C04775	D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-R; D-Galactosyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosyl-R; beta-D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-R
cpd:C04776	Peptide beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-L-serine; T antigen
cpd:C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole; alpha-Ribazole 5'-phosphate
cpd:C04779	rRNA containing a single residue of 2'-O-methyladenosine
cpd:C04780	8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate; OPC-8:0
cpd:C04783	cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate; Phthalate-4,5-cis-dihydrodiol
cpd:C04785	13(S)-HPOT; (9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate; (9Z,11E,15Z)-(13S)-13-Hydroperoxyoctadeca-9,11,15-trienoic acid; 13(S)-HpOTrE; 13-HPOT
cpd:C04787	Cyanidin 3-rutinoside 5-glucoside chloride
cpd:C04789	Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose
cpd:C04790	N-Acetyl-beta-D-mannosaminouronosyl-1,4-lipopolysaccharide
cpd:C04791	beta-D-Galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein
cpd:C04792	1-Acyl-2-[(S)-12-hydroxyoleoyl]-sn-glycero-3-phosphocholine
cpd:C04793	3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione
cpd:C04794	3-(4-Deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine; 3-(4-Deoxy-alpha-L-threo-hex-4-enopyranosyluronic acid)-2-acetamido-2-deoxy-D-glucose
cpd:C04796	4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
cpd:C04797	5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
cpd:C04798	5-Amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone; Chloridazon catechol; 5-Amino-4-chloro-2-(2',3'-dihydroxyphenyl)-3(2H)-pyridazinone
cpd:C04799	Colominic acid(non-reducing N- or O-acylneuraminyl residue); Colominate
cpd:C04800	D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan
cpd:C04801	[3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Biotin-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]; Holo-[methylcrotonoyl-CoA-carboxylase]; Biotin-[methylcrotonoyl-CoA-carboxylase]
cpd:C04802	m7G(5')pppRm-mRNA; 5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-[mRNA]; 5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-(ribonucleotide)-[mRNA]
cpd:C04804	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine; UDP-N-acetylmuramoyl-L-Ala-D-gamma-Glu-6-carboxy-L-Lys-D-Ala; UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-6-carboxy-L-lysyl-D-alanine
cpd:C04805	5(S)-HETE; 5-Hydroxyeicosatetraenoate; 5-HETE; (6E,8Z,11Z,14Z)-(5S)-5-Hydroxyicosa-6,8,11,14-tetraenoic acid
cpd:C04806	17alpha-(N-Acetyl-D-glucosaminyl)-estradiol 3-D-glucuronoside
